GeneID,RPKM_zero,RPKM_final
ENSG00000183077,27.6179219,14.29038943
ENSG00000081051,23.64890962,14.51034458
ENSG00000119844,13.11372078,17.00782062
ENSG00000038002,29.32832399,40.52578446
ENSG00000157985,4.442683979,4.011978463
ENSG00000135439,10.88245761,17.92499842
ENSG00000133612,10.95707999,7.888505934
ENSG00000172650,30.72528692,35.87478205
ENSG00000204149,18.31906383,9.342438723
ENSG00000204172,43.22136801,12.18649231
ENSG00000273540,5.379252622,4.438492438
ENSG00000165923,16.79422531,15.49631226
ENSG00000146856,22.23360883,26.59498599
ENSG00000186094,12.63062374,21.40427848
ENSG00000084693,13.84455676,9.437437933
ENSG00000204305,33.627183,51.77380547
ENSG00000173744,8.093406895,7.719123923
ENSG00000106351,10.50427697,12.94205962
ENSG00000164252,13.46431075,13.30940908
ENSG00000006530,22.00865907,23.87994254
ENSG00000162688,6.705361377,4.016380909
ENSG00000116771,18.29316854,21.22382664
ENSG00000187546,25.61890502,24.66748404
ENSG00000092847,3.963875611,3.879694944
ENSG00000123908,2.988443577,0.985713281
ENSG00000126070,2.807295932,1.330845987
ENSG00000134698,5.948824858,5.340792162
ENSG00000204310,26.26214638,16.6791752
ENSG00000169692,37.58485345,33.54112839
ENSG00000160216,10.00717488,10.31077805
ENSG00000026652,5.086857274,5.527177707
ENSG00000155189,7.079221673,2.832617184
ENSG00000018510,4.325686961,5.203238494
ENSG00000106541,33.33849019,33.97250254
ENSG00000173467,88.9636373,57.98180452
ENSG00000188157,6.481244269,7.742206322
ENSG00000159723,132.174537,119.4164842
ENSG00000135744,6.98573753,12.04353817
ENSG00000135049,16.75488591,11.74006401
ENSG00000144891,20.32048691,24.1038027
ENSG00000180772,21.46028905,22.33485985
ENSG00000177674,54.81732925,88.44361057
ENSG00000172482,15.08350012,9.394736536
ENSG00000113492,22.34908091,25.01896259
ENSG00000153207,7.208449484,8.046679945
ENSG00000101444,27.11131367,39.7237677
ENSG00000168710,11.35254551,7.954146591
ENSG00000158467,12.71287521,16.87183807
ENSG00000126705,6.035458556,4.800750151
ENSG00000135541,4.922874539,11.24606809
ENSG00000124942,3.698508394,5.11079118
ENSG00000185567,2.152407664,1.884012769
ENSG00000106546,9.987433594,7.831197456
ENSG00000063438,10.48654777,8.322166953
ENSG00000100591,39.94692578,26.42770407
ENSG00000145192,30.70803498,25.04314858
ENSG00000169877,103.1281542,262.6788384
ENSG00000111732,26.37904816,26.12112465
ENSG00000186063,11.07494521,12.33517668
