,reaction_expression
MAR04453,27.0
MAR04480_f,314.6
MAR04481,-1.0
MAR04482,-1.0
MAR04486,34.2
MAR04487,34.2
MAR04488,34.2
MAR04489,34.2
MAR04492,34.2
MAR04493,34.2
MAR04495,34.2
MAR04496,34.2
MAR04518,-1.0
MAR04519,-1.0
MAR04520,-1.0
MAR04573,180.0
MAR04574_f,-1.0
MAR04600,65.0
MAR04602,113.0
MAR04603_f,-1.0
MAR04611,27.0
MAR04612,27.0
MAR04614,27.0
MAR04615,27.0
MAR04617,27.0
MAR04618,27.0
MAR04619,27.0
MAR04621,27.0
MAR04632,113.0
MAR04646,-1.0
MAR04648,-1.0
MAR04649,-1.0
MAR04650,-1.0
MAR04651_f,-1.0
MAR04663_f,-1.0
MAR04664,31.1
MAR04694,-1.0
MAR04695_f,-1.0
MAR04705,113.0
MAR04709_f,-1.0
MAR04799,19.9
MAR04802,19.9
MAR04804_f,25.7
MAR04808,-1.0
MAR04810,25.7
MAR04812_f,124.5
MAR04814_f,6.4
MAR05301,53.8
MAR05353_f,473.4
MAR06601,-1.0
MAR06602_f,191.4
MAR06603_f,191.4
MAR06605_f,-1.0
MAR06606_f,-1.0
MAR06607_f,-1.0
MAR06609_f,-1.0
MAR06610,-1.0
MAR06611_f,-1.0
MAR07144,77.4
MAR08755,-1.0
MAR09797,-1.0
MAR04016_f,165.2
MAR04018_f,165.2
MAR04044_f,165.2
MAR04291_f,165.2
MAR04420,165.2
MAR04570_f,165.2
MAR04572,165.2
MAR04006_f,165.2
MAR04028_f,165.2
MAR04030_f,165.2
MAR04670_f,165.2
MAR04673_f,165.2
MAR04675,165.2
MAR06614_f,165.2
MAR06615_f,165.2
MAR06616_f,165.2
MAR04635_f,165.2
MAR03793_f,-1.0
MAR03931,50.7
MAR03969,33.0
MAR03970,113.0
MAR04008_f,79.8
MAR04032,-1.0
MAR04034,-1.0
MAR04036,15.4
MAR04050_f,-1.0
MAR04056,113.0
MAR04059,15.100000000000001
MAR04060,15.100000000000001
MAR04127,53.4
MAR04177,113.0
MAR04179,113.0
MAR04182,58.2
MAR04183,-1.0
MAR04192,-1.0
MAR04194,-1.0
MAR04210,180.0
MAR04211,30.0
MAR04343,7.9
MAR04345_f,-1.0
MAR04346,-1.0
MAR04470,-1.0
MAR04471,-1.0
MAR04472,-1.0
MAR04484,113.0
MAR04485_f,60.0
MAR04510,113.0
MAR04512_f,79.8
MAR04513,16.5
MAR04514,-1.0
MAR04577,15.4
MAR04579_f,102.2
MAR04580,-1.0
MAR04608_f,-1.0
MAR04575_f,-1.0
MAR04637_f,27.7
MAR04642,29.4
MAR04643,150.0
MAR04644_f,-1.0
MAR04672,-1.0
MAR04676,53.8
MAR04736,-1.0
MAR04819,-1.0
MAR05299,53.8
MAR05352,53.8
MAR05415,27.0
MAR05416,27.0
MAR05417,63.5
MAR06612_f,27.7
MAR06613_f,27.7
MAR06621_f,27.0
MAR06622,27.0
MAR06623,-1.0
MAR06624,16.0
MAR06627,180.0
MAR07744_f,11.8
MAR08072,-1.0
MAR08637,-1.0
MAR03965,120.0
MAR03966,30.0
MAR03967_f,79.8
MAR03968_f,27.7
MAR03999,-1.0
MAR04024_f,79.8
MAR04026_f,-1.0
MAR04054,-1.0
MAR04061,-1.0
MAR04083,30.0
MAR04136,6204.299999999998
MAR04180,53.8
MAR04185,26.2
MAR04186,26.2
MAR04342,15.100000000000001
MAR04344_f,-1.0
MAR04483,16.0
MAR04507,30.5
MAR04516,45.9
MAR04601,65.0
MAR04633,-1.0
MAR04640,27.7
MAR04641,-1.0
MAR04680_f,102.2
MAR04806,19.9
MAR05394,-1.0
MAR06625,16.0
MAR06626,29.4
MAR07160,181.69999999999996
MAR07161,3.6
MAR07162,3.6
MAR07163,13.5
MAR07164,13.5
MAR07713,113.0
MAR07716,113.0
MAR07717,113.0
MAR07721,113.0
MAR07725,113.0
MAR07728,113.0
MAR07800_f,-1.0
MAR07801_f,56.8
MAR07802_f,-1.0
MAR07863_f,79.8
MAR07864_f,79.8
MAR07865_f,79.8
MAR07866_f,79.8
MAR07867_f,79.8
MAR07868_f,79.8
MAR07869_f,79.8
MAR07870_f,79.8
MAR07871_f,79.8
MAR07872_f,79.8
MAR07873_f,79.8
MAR07874_f,79.8
MAR07875_f,-1.0
MAR07876_f,79.8
MAR07878_f,165.2
MAR07879,30.0
MAR07880,29.4
MAR07881_f,-1.0
MAR07882_f,-1.0
MAR07883_f,165.2
MAR07884_f,-1.0
MAR07885_f,-1.0
MAR07886_f,165.2
MAR07887_f,-1.0
MAR07888_f,-1.0
MAR07889_f,-1.0
MAR07890_f,165.2
MAR07891_f,-1.0
MAR07892_f,-1.0
MAR07893_f,-1.0
MAR07894_f,165.2
MAR07895_f,165.2
MAR08083,23.0
MAR08085,23.0
MAR08087,23.0
MAR08443,77.4
MAR08444,77.4
MAR08445,53.8
MAR08446,-1.0
MAR08448_f,79.8
MAR08449_f,79.8
MAR08450_f,79.8
MAR08451_f,79.8
MAR08452_f,79.8
MAR08453_f,79.8
MAR08454_f,79.8
MAR08455_f,79.8
MAR08456_f,79.8
MAR08457_f,79.8
MAR08458_f,79.8
MAR08459_f,79.8
MAR08460_f,79.8
MAR08461_f,-1.0
MAR08462_f,79.8
MAR08463_f,79.8
MAR08464_f,79.8
MAR08465_f,79.8
MAR08466_f,79.8
