,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7
ENSG00000184787,0.005828088910219424,0.0056295029244810306,0.005758784426580349,0.005600127558569406,0.00605357630768979,0.005913926743767248,0.004780919860965036
ENSG00000186591,0.008170545824509205,0.00865536074808697,0.009382716050682941,0.008407969291202634,0.008287120694253976,0.008354235436720165,0.0061702225181199475
ENSG00000103275,0.008752653381595185,0.008525449141972473,0.008790123457962751,0.008882424545538415,0.009001279735131495,0.008575052232098118,0.00746499530390992
ENSG00000198833,0.004273464310091609,0.004638926928572731,0.004079772079819616,0.004168983850133183,0.0039973734283016244,0.0045012654498138675,0.007330361848507833
ENSG00000160087,0.005690159810312818,0.005846022269434556,0.005321937321504463,0.0056390173346716355,0.004898460003539973,0.005276955218861353,0.005895226527347094
ENSG00000078140,0.00613433826893753,0.005867674203786975,0.005929724596754063,0.006090138719602236,0.005583860965700987,0.005942236591668281,0.006313449596843991
ENSG00000185651,0.009192156276310835,0.009131703305269473,0.009500474832723937,0.009166319898557223,0.009260102474797423,0.009560234859970313,0.010696198182352075
ENSG00000156587,0.007740394057611663,0.006381907643942138,0.006640075972955598,0.007085716952684789,0.006729391239828037,0.00688778543363776,0.004697848157622922
ENSG00000130725,0.0067024191371869895,0.00645768941274622,0.005633428301114132,0.007284054803750451,0.006221331786262025,0.006228166029831675,0.003039278593706567
ENSG00000177889,0.005528852896642246,0.005818957352208725,0.0043760683754595405,0.004736774560490598,0.0047546695929297856,0.0051807017443986835,0.006350688636180287
ENSG00000175931,0.007090490840465655,0.007123486393368295,0.007669515669311331,0.007198497298917437,0.008536357403897148,0.0076011935436760296,0.004998625021056817
ENSG00000160714,0.006978277335554881,0.0060408896786062925,0.00592592592576162,0.007101272862261715,0.006063162333455635,0.006431996918207117,0.007808740290691522
ENSG00000140367,0.005276372510592996,0.004812142406250803,0.004828110160184125,0.004651217054217646,0.004788220689495612,0.004690941414963004,0.0031108921330685936
ENSG00000215218,0.0064709787836698465,0.007063943574613838,0.005754985755587911,0.0065023703327504396,0.005895406854883404,0.0060469830203564254,0.009937094666731703
ENSG00000107341,0.007289202253846045,0.007226333082256944,0.0074947768281451894,0.007023493312937128,0.007965988775048805,0.006944405126542989,0.008934505122401242
ENSG00000108106,0.008294448238469955,0.007908369014358022,0.007977207977928565,0.007089605928999066,0.008502806310169274,0.00806547501188372,0.006075692646755007
ENSG00000077152,0.008067683444525891,0.007139725343417912,0.00837986704695322,0.007933514041186657,0.007937230692075385,0.007414348562303095,0.00411921076006289
ENSG00000177414,0.007801176371085456,0.007139725343417918,0.007658119657774369,0.007847956536353643,0.007247036719159902,0.0075389118832183905,0.005273621010482094
ENSG00000104343,0.008418350648094724,0.008725729535447004,0.008402659070027142,0.009325767976400529,0.008675354803752873,0.008580714199650542,0.007367600887844119
ENSG00000159202,0.006809957078188716,0.007069356560345999,0.006773029440406688,0.006751264888861169,0.007299759868676393,0.00606113794358273,0.0049556568977091224
ENSG00000114062,0.0054610572394728695,0.0059218040382386285,0.005918328585217099,0.005716796882556277,0.005339417266812277,0.005415673464451371,0.0036838004452696385
ENSG00000151148,0.0049210297474510875,0.005256007057616558,0.005010446343335141,0.004725107627227949,0.005291487128050253,0.004563547108823087,0.007161353895775166
ENSG00000009335,0.005643404184230214,0.004752599584637593,0.005671415003836753,0.005685685063402423,0.005171661785402107,0.005647814196382588,0.004646286409605683
ENSG00000110344,0.00495375868325186,0.005878500170963179,0.005899335231695261,0.005234563675591931,0.005986474115977103,0.0058544760685342355,0.0022429360400974883
ENSG00000130939,0.005566257400688044,0.005304723909194808,0.005800569800295405,0.005366788910595666,0.005885820829117558,0.005602518444375878,0.0042366569661258955
ENSG00000120942,8.206899071875117,8.214951714971232,8.211127445446005,8.202142857131303,8.215597050037855,8.210337155537866,8.22249748395053
ENSG00000159459,0.005514826207805731,0.006344016758110721,0.006560303893637224,0.006257364751514049,0.005799546581616266,0.005681786011836035,0.005104613057749427
ENSG00000024048,0.005484435051791506,0.00513150843580486,0.0056372269692258736,0.005705129950733559,0.005641377130228852,0.005390194603223389,0.007167082979786571
ENSG00000144357,0.006884766081944336,0.008130301339326214,0.006229819561946069,0.007334611510235448,0.006154229594549337,0.006366884275421686,0.006989481402384368
ENSG00000127481,0.007971834411128807,0.00823856101394704,0.008098765430961998,0.008236854284416483,0.008776008092031391,0.008034334180206482,0.011429520819921097
ENSG00000104517,0.007013344055478167,0.006663382790523535,0.007092117759120536,0.007023493312937128,0.006494533566705182,0.0068283347584047515,0.007399110845864155
ENSG00000012963,0.004546984728672955,0.004779664504722176,0.004459639127210698,0.004604549325486866,0.004093233701568762,0.004458800681583374,0.004629099160266602
ENSG00000130717,2.376042664612238,2.203732741534301,2.3253518143046557,2.3276053665492378,2.2157375756447997,2.2337291521992144,1.3618601097573984
ENSG00000143179,2.6694981326743425,2.5888732097890714,2.815913605647119,2.5922466679348517,2.6343459763157995,2.644851818611972,3.005392749734144
ENSG00000198276,1.95445920271342,2.2073940486766275,1.8587345800482247,2.080147965515912,2.1499164480394017,2.121419029188814,2.6327471405084575
ENSG00000109424,4.409860880929701,4.458975277657268,4.443029016309582,4.418056217237169,4.422333125428375,4.431726555605941,4.514325646522744
ENSG00000175567,0.3011605276018703,0.3296309566265662,0.3092710544791397,0.3115769414051631,0.3000623829380329,0.3221735320443135,0.2645502645895251
ENSG00000175564,0.39155193536652616,0.3984235040808266,0.4272234017311244,0.4190090519896836,0.35870243296819593,0.3889570552581341,0.627932514630656
ENSG00000148154,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ENSG00000109814,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000136731,0.09468094073399089,0.07880065406396436,0.1020352781525478,0.09372734876550279,0.09000775929186489,0.08763648886564337,0.12971368883099937
ENSG00000102595,0.09232066088924071,0.08234668348924772,0.07994572591534212,0.08173961525778654,0.07014397792090335,0.07876344631320258,0.056578908826858135
ENSG00000169764,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ENSG00000135220,9.520722664830574,9.86690001716156,9.447948358084606,9.58799457342205,10.188220361694052,9.785371366274651,14.074772666078308
ENSG00000109181,3.3598986955748877,3.583013662109744,3.5782609235710474,3.4342147393974374,3.753175444248986,3.644646793397674,2.8449925706414474
ENSG00000213759,3.313801535489854,3.355372236454751,3.272156005974229,2.876182414422289,3.6870461397350542,3.1329436663570265,3.4364602469263743
ENSG00000196620,6.553546618411705,6.3069278774608035,6.380620839668244,6.909648476795395,5.696381833256954,6.68222700456334,9.069944854284817
ENSG00000197888,4.763103643612475,4.979485949097902,4.939934670167485,5.420949045437558,4.539188366804365,4.473413304835483,5.013093216341342
ENSG00000135226,6.3527949361253615,6.428172278293269,6.303296850706003,6.266958456462762,5.467889208769881,6.076238491243366,9.897564207383603
ENSG00000156096,5.076678143128607,4.536699048475769,5.3679911085759855,4.722565855621372,5.022462611674971,4.854874250039475,6.639918589927513
ENSG00000171234,20.066949532958404,19.514731588308788,19.233294162224553,19.003395835964596,20.098161823541922,20.534690426219356,19.670405957823423
ENSG00000145626,3.504081151735984,3.3326484622338866,3.2106508075401337,3.369235458640116,3.400751011383087,3.435505143631577,2.9967290049665065
ENSG00000168671,2.847770956625292,3.0776113470295474,3.092293483498236,3.056947928801257,2.7915655696169375,2.869427591752633,1.9732631732154315
ENSG00000174607,3.0,3.0,3.0,3.0,3.0,3.0,3.0
ENSG00000276043,0.00627928071109439,0.006219518136299028,0.006252611585019989,0.006549038062921163,0.007031351103244615,0.00693874315609373,0.005843664779329856
ENSG00000147854,0.00538624823427191,0.0055970250229524085,0.0056220322895771755,0.005331788113687591,0.005248350005718574,0.005477955123460588,0.007095469441772128
ENSG00000114491,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ENSG00000100024,2.0,2.0,2.0,2.0,2.0,2.0,2.0
