,sample_1,sample_2,sample_3,sample_4
MAR07674,149.8,9.2,175.2,49.6
MAR08761,21.4,67.6,387.6,741.7
MAR08762,138.10000000000002,335.09999999999997,3415.0,5423.499999999999
MAR08764,-1.0,-1.0,-1.0,-1.0
MAR08766,657.4,92.2,3.2,63.7
MAR08767,9.7,18.4,74.8,42.7
MAR00454,-1.0,-1.0,-1.0,-1.0
MAR04297,15.6,30.7,6.3,25.8
MAR04310,21.4,67.6,387.6,741.7
MAR04315,15.6,12.3,268.0,148.1
MAR04316,657.4,92.2,3.2,63.7
MAR04317,72.0,42.9,201.9,122.79999999999998
MAR04318,72.0,42.9,201.9,122.79999999999998
MAR04319,38.9,21.5,0.8,17.900000000000002
MAR04320,72.0,42.9,201.9,122.79999999999998
MAR04356,138.10000000000002,335.09999999999997,3415.0,5423.499999999999
MAR04383,13.6,12.3,18.8,29.5
MAR04385,44.7,101.4,126.8,142.79999999999998
MAR04386,23.3,30.8,49.7,27.799999999999997
MAR04387,17.5,27.7,27.1,19.4
MAR04399,44.7,86.1,17.1,41.0
MAR04400,11.7,43.0,73.0,78.0
MAR04401,9.7,18.4,9.3,13.3
MAR04402,-1.0,-1.0,-1.0,-1.0
MAR04403,-1.0,-1.0,-1.0,-1.0
MAR04490,38.9,21.5,0.8,17.900000000000002
MAR04706,15.6,30.7,6.3,25.8
MAR08768,11.7,43.0,73.0,78.0
MAR04590,163.4,651.6,4143.6,2642.2
MAR04591,44.7,61.4,113.6,122.9
MAR04592,657.4,92.2,3.2,63.7
MAR04593,15.6,12.3,268.0,148.1
MAR04594,-1.0,-1.0,-1.0,-1.0
MAR04595,-1.0,-1.0,-1.0,-1.0
MAR08341,811.0,405.70000000000005,420.9,1619.9
MAR08342,-1.0,-1.0,-1.0,-1.0
MAR08344,83.6,119.9,315.0,1034.2
MAR08352,54.5,316.6,334.2,736.6
MAR08353,-1.0,-1.0,-1.0,-1.0
MAR08726,15.6,33.8,37.7,92.6
MAR08727,44.7,18.4,75.8,47.0
MAR08728,-1.0,-1.0,-1.0,-1.0
MAR08729,81.7,33.8,11.3,16.0
MAR06537,83.6,119.9,315.0,1034.2
MAR01568,107.0,6.1,0.1,0.7
MAR03853,175.1,371.9,189.60000000000002,312.1
MAR03854,657.4,92.2,3.2,63.7
MAR03855,657.4,92.2,3.2,63.7
MAR03857,50.6,122.9,237.1,413.7
