,sample_1,sample_2,sample_3
"('MAR11767', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11768', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11769', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11770', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11771', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11772', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11773', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11774', 'ENSG00000085563')","{'ENSG00000085563': ('ENSG00000085563', 1, 3.7)}","{'ENSG00000085563': ('ENSG00000085563', 1, 1.9)}","{'ENSG00000085563': ('ENSG00000085563', 1, 544.8)}"
"('MAR11775', 'ENSG00000103375')",{},{},{}
"('MAR11776', 'ENSG00000023839')","{'ENSG00000023839': ('ENSG00000023839', 1, 2.2)}","{'ENSG00000023839': ('ENSG00000023839', 1, 0.6)}","{'ENSG00000023839': ('ENSG00000023839', 1, 1.8)}"
"('MAR11777', 'ENSG00000150540')","{'ENSG00000150540': ('ENSG00000150540', 1, 9.0)}","{'ENSG00000150540': ('ENSG00000150540', 1, 132.5)}","{'ENSG00000150540': ('ENSG00000150540', 1, 30.4)}"
"('MAR11778', 'ENSG00000103222')","{'ENSG00000103222': ('ENSG00000103222', 1, 10.2)}","{'ENSG00000103222': ('ENSG00000103222', 1, 18.5)}","{'ENSG00000103222': ('ENSG00000103222', 1, 10.7)}"
"('MAR11779', 'ENSG00000142583')","{'ENSG00000142583': ('ENSG00000142583', 1, 1.9)}","{'ENSG00000142583': ('ENSG00000142583', 1, 7.5)}","{'ENSG00000142583': ('ENSG00000142583', 1, 30.4)}"
"('MAR11780', 'ENSG00000155380')","{'ENSG00000155380': ('ENSG00000155380', 1, 8.1)}","{'ENSG00000155380': ('ENSG00000155380', 1, 15.8)}","{'ENSG00000155380': ('ENSG00000155380', 1, 19.7)}"
"('MAR11781', 'ENSG00000175003')","{'ENSG00000175003': ('ENSG00000175003', 1, 1.9)}","{'ENSG00000175003': ('ENSG00000175003', 1, 0.4)}","{'ENSG00000175003': ('ENSG00000175003', 1, 0.9)}"
"('MAR11782', 'ENSG00000146477')","{'ENSG00000146477': ('ENSG00000146477', 1, 5.9)}","{'ENSG00000146477': ('ENSG00000146477', 1, 0.4)}","{'ENSG00000146477': ('ENSG00000146477', 1, 7.2)}"
"('MAR11783', 'ENSG00000112499')",{},{},{}
"('MAR11784', 'ENSG00000112499')",{},{},{}
"('MAR11785', 'ENSG00000118596')","{'ENSG00000118596': ('ENSG00000118596', 1, 13.0)}","{'ENSG00000118596': ('ENSG00000118596', 1, 24.2)}","{'ENSG00000118596': ('ENSG00000118596', 1, 13.4)}"
"('MAR11786', 'ENSG00000118777')","{'ENSG00000118777': ('ENSG00000118777', 1, 3.7)}","{'ENSG00000118777': ('ENSG00000118777', 1, 6.0)}","{'ENSG00000118777': ('ENSG00000118777', 1, 177.1)}"
"('MAR11787', 'ENSG00000076351')","{'ENSG00000076351': ('ENSG00000076351', 1, 7.1)}","{'ENSG00000076351': ('ENSG00000076351', 1, 9.8)}","{'ENSG00000076351': ('ENSG00000076351', 1, 5.4)}"
"('MAR11788', 'ENSG00000164638')",{},{},{}
"('MAR11789', 'ENSG00000164638')",{},{},{}
"('MAR11790', 'ENSG00000164638')",{},{},{}
